Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,27532,546,7660,19326,658,42,1502,22890,4642,20.28,Eastern Mediterranean
Albania,1788,39,1086,663,66,1,9,1385,403,29.1,Europe
Algeria,11385,811,8078,2496,117,12,135,10589,796,7.52,Africa
Andorra,855,52,792,11,1,0,1,852,3,0.35,Europe
Angola,166,8,64,94,11,1,0,118,48,40.68,Africa
Antigua and Barbuda,26,3,22,1,0,0,0,26,0,0,Americas
Argentina,37510,948,10721,25841,1958,35,209,27373,10137,37.03,Americas
Armenia,18698,309,7560,10829,665,7,746,14669,4029,27.47,Europe
Australia,7409,102,6878,429,18,0,1,7289,120,1.65,Western Pacific
Austria,17223,688,16101,434,20,1,2,17034,189,1.11,Europe
Azerbaijan,11329,139,6192,4998,338,6,117,8882,2447,27.55,Europe
Bahamas,104,11,74,19,0,0,2,103,1,0.97,Americas
Bahrain,20430,55,14696,5679,469,6,511,16667,3763,22.58,Eastern Mediterranean
Bangladesh,102292,1343,40164,60785,3803,38,1975,78052,24240,31.06,South-East Asia
Barbados,97,7,85,5,0,0,0,96,1,1.04,Americas
Belarus,56657,331,34023,22303,625,7,1288,51816,4841,9.34,Europe
Belgium,60348,9683,16724,33941,104,8,40,59711,637,1.07,Europe
Belize,22,2,16,4,0,0,0,20,2,10,Americas
Benin,597,11,238,348,25,2,1,305,292,95.74,Africa
Bhutan,67,0,25,42,0,0,1,62,5,8.06,South-East Asia
Bolivia,21499,697,4002,16800,814,18,0,16165,5334,33,Americas
Bosnia and Herzegovina,3174,168,2219,787,33,0,22,2832,342,12.08,Europe
Botswana,79,1,25,53,0,0,0,48,31,64.58,Africa
Brazil,978142,47748,534580,395814,22765,1238,13534,802828,175314,21.84,Americas
Brunei,141,3,138,0,0,0,0,141,0,0,Western Pacific
Bulgaria,3674,190,1941,1543,132,6,61,3086,588,19.05,Europe
Burkina Faso,899,53,810,36,0,0,1,892,7,0.78,Africa
Burma,286,6,187,93,24,0,2,260,26,10,South-East Asia
Burundi,104,1,75,28,0,0,0,85,19,22.35,Africa
Cabo Verde,823,7,377,439,31,0,0,657,166,25.27,Africa
Cambodia,129,0,126,3,1,0,0,126,3,2.38,Western Pacific
Cameroon,9864,276,5570,4018,0,0,0,8681,1183,13.63,Africa
Canada,101864,8360,0,93504,386,49,0,99146,2718,2.74,Americas
Central African Republic,2605,19,417,2169,41,1,15,1952,653,33.45,Africa
Chad,854,74,733,47,0,0,12,848,6,0.71,Africa
Chile,225103,3841,186441,34821,4475,226,4510,154092,71011,46.08,Americas
China,84494,4638,79515,341,36,0,5,84216,278,0.33,Western Pacific
Colombia,57202,1955,21361,33886,2119,68,961,43810,13392,30.57,Americas
Comoros,210,5,129,76,13,2,2,162,48,29.63,Africa
Congo (Brazzaville),883,27,391,465,0,0,0,728,155,21.29,Africa
Congo (Kinshasa),5283,117,685,4481,183,2,45,4515,768,17.01,Africa
Costa Rica,1939,12,937,990,68,0,38,1538,401,26.07,Americas
Cote d'Ivoire,6444,49,2863,3532,381,1,114,4404,2040,46.32,Africa
Croatia,2269,107,2142,20,11,0,1,2249,20,0.89,Europe
Cuba,2295,85,2020,190,15,1,21,2219,76,3.42,Americas
Cyprus,985,19,818,148,0,1,2,975,10,1.03,Europe
Czechia,10280,334,7440,2506,118,1,41,9855,425,4.31,Europe
Denmark,12531,600,11429,502,50,2,57,12222,309,2.53,Europe
Djibouti,4557,43,3527,987,12,0,116,4398,159,3.62,Eastern Mediterranean
Dominica,18,0,18,0,0,0,2,18,0,0,Americas
Dominican Republic,24645,635,14293,9717,540,2,77,21437,3208,14.96,Americas
Ecuador,49097,4087,24123,20887,607,80,242,44440,4657,10.48,Americas
Egypt,50437,1938,13528,34971,1218,88,387,39726,10711,26.96,Eastern Mediterranean
El Salvador,4200,82,2235,1883,134,3,98,3373,827,24.52,Americas
Equatorial Guinea,1664,32,515,1117,0,0,0,1306,358,27.41,Africa
Eritrea,142,0,39,103,11,0,0,41,101,246.34,Africa
Estonia,1977,69,1748,160,0,0,5,1965,12,0.61,Europe
Eswatini,586,4,267,315,23,0,5,449,137,30.51,Africa
Ethiopia,3954,65,934,2955,195,2,85,2670,1284,48.09,Africa
Fiji,18,0,18,0,0,0,0,18,0,0,Western Pacific
Finland,7119,326,6200,593,2,0,0,7064,55,0.78,Europe
